yurt_ilce;yurt_ismi;yurt_cinsiyet;yurt_kategori;yurt_puan;yurt_degerlendirme_sayisi;yurt_saat;yurt_tel;yurt_adres;yurt_website; yurt_enlem ; yurt_boylam 
bayrakli;ozel gumuspala ortaogretim erkek ogrenci yurdu;erkek;ozel;-;-;24 saat acik;0232 365 63 44;gumuspala, 7049. sk. no:7, 35510 bayrakli/izmir;https://ozel-gumuspala-ortaogretim-erkek-ogrenci.business.site/?utm_source=gmb&utm_medium=referral;38.47106154301047; 27.138864107187324
bayrakli;nilufer orta ogretim kiz ogrenci yurdu;kiz;ozel;-;-;gecici olarak kapali;-;manavkuyu, sakarya cd., 35535 bayrakli/izmir;-;38.45664322300099; 27.184393252926892
bergama;bergama yurt;-;devlet;3,8;9;24 saat acik;0535 340 81 81;fatih, yuvam sitesi ic yolu, 35700 bergama/izmir;http://www.bergamaapart.com/;39.09833362046671;27.159835871310882
bergama;bergama ogrenci yurdu;-;devlet;-;-;-;0537 420 06 55;fatih, gazi cd. no: 3, 35700 bergama/izmir;https://bergamaapart.com/;39.10145504417301;27.168436953593446
bornova;ozel kumlu yuksek ogrenim kiz ogrenci yurdu;kiz;ozel;2,9;22;-;0232 339 40 40;kazim dirik mah ankara cad no:249 bornova izmir, 35100;-;38.46246638558213; 27.210009094125006
bornova;egeyurt izmir ozel ogrenci yurdu;-;ozel;3,4;636;24 saat acik;0232 342 44 00;kazimdirik, 372. sk. no:12/2, 35100 bornova/izmir;http://egeyurt.com.tr/;38.452966429423554; 27.21578337990991
bornova;ozel bornova yuksekogrenim erkek ogrenci yurdu;erkek;ozel;4,0;146;-;0507 145 25 50;eski bornova stadyum migros, kazim dirik mh. 200 sk, karsisi no:2/3, 35515 bornova/izmir;https://www.bornovaozelerkekogrenciyurdu.com/;38.465327625828195; 27.208813598524692
bornova;ozel bati plus kiz ogrenci yurdu;kiz;ozel;4,3;43;-;0532 550 76 94;erzene, 63. sk. no:28, 35040 bornova/izmir;http://www.batikizyurdu.com/;38.4638474111175; 27.22674842038446
bornova;ozel maya yuksek ogrenim erkek ogrenci yurdu;erkek;ozel;3,5;43;-;0552 345 59 08;ergene, 554. sk. no.32, 35050 bornova/izmir;http://www.mayakizogrenciyurdu.com/;38.46624970370442; 27.21585668546932
bornova;ozel karahan grup yuksek ogrenim erkek ogrenci yurdu;erkek;ozel;4,2;12;-;0554 315 52 43;kazimdirik, 215. sk. no: 7, 35040 bornova/izmir;-;38.46020201004402; 27.205639608746083
bornova;ozel hisar yuksekogretim erkek ogrenci yurdu;erkek;ozel;4,5;258;24 saat acik;0232 339 13 84;mevlana, 1722. sk. no:3, 35050 bornova/izmir;-;38.44679774557411; 27.22949435478002
